trial_id,timestamp,machine_name,gpu_info,gpu_memory,platform,model,trial,latency_s,completion_tokens,tokens_per_sec,unique,duplicate_reason,sample_output
microsoft/phi-4-mini-reasoning_3_1759009520,2025-09-27T17:45:20.263098,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,microsoft/phi-4-mini-reasoning,3,122.04013204574585,0,0,False,error,
microsoft/phi-4-mini-reasoning_4_1759009643,2025-09-27T17:47:23.344745,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,microsoft/phi-4-mini-reasoning,4,122.06514811515808,0,0,False,error,
qwen/qwen3-4b-thinking-2507_1_1759009766,2025-09-27T17:49:26.439746,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,qwen/qwen3-4b-thinking-2507,1,122.0772316455841,0,0,False,error,
qwen/qwen3-4b-thinking-2507_2_1759009889,2025-09-27T17:51:29.544760,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,qwen/qwen3-4b-thinking-2507,2,122.07327699661255,0,0,False,error,
qwen/qwen3-4b-thinking-2507_3_1759010012,2025-09-27T17:53:32.622821,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,qwen/qwen3-4b-thinking-2507,3,122.05773758888245,0,0,False,error,
qwen/qwen3-4b-thinking-2507_4_1759010135,2025-09-27T17:55:35.691938,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,qwen/qwen3-4b-thinking-2507,4,122.04389333724976,0,0,False,error,
google/gemma-3-4b_1_1759010258,2025-09-27T17:57:38.770150,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-4b,1,122.05665636062622,0,0,False,error,
google/gemma-3-4b_2_1759010381,2025-09-27T17:59:41.799132,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-4b,2,122.01494216918945,0,0,False,error,
google/gemma-3-4b_3_1759010504,2025-09-27T18:01:44.877937,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-4b,3,122.058345079422,0,0,False,error,
google/gemma-3-4b_4_1759010627,2025-09-27T18:03:47.968065,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-4b,4,122.06866455078125,0,0,False,error,
google/gemma-3-4b:2_1_1759010751,2025-09-27T18:05:51.059402,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-4b:2,1,122.06834936141968,0,0,False,error,
google/gemma-3-4b:2_2_1759010874,2025-09-27T18:07:54.138757,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-4b:2,2,122.05725455284119,0,0,False,error,
google/gemma-3-4b:2_3_1759010997,2025-09-27T18:09:57.195195,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-4b:2,3,122.04317259788513,0,0,False,error,
google/gemma-3-4b:2_4_1759011120,2025-09-27T18:12:00.251585,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-4b:2,4,122.04334759712219,0,0,False,error,
google/gemma-3n-e4b_1_1759011243,2025-09-27T18:14:03.345164,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3n-e4b,1,122.08225798606873,0,0,False,error,
google/gemma-3n-e4b_2_1759011366,2025-09-27T18:16:06.420694,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3n-e4b,2,122.0637059211731,0,0,False,error,
google/gemma-3n-e4b_3_1759011489,2025-09-27T18:18:09.493514,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3n-e4b,3,122.05493783950806,0,0,False,error,
google/gemma-3n-e4b_4_1759011612,2025-09-27T18:20:12.556080,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3n-e4b,4,122.04736495018005,0,0,False,error,
fusechat-gemma-2-9b-instruct_1_1759011735,2025-09-27T18:22:15.603612,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,fusechat-gemma-2-9b-instruct,1,122.0359160900116,0,0,False,error,
fusechat-gemma-2-9b-instruct_2_1759011858,2025-09-27T18:24:18.649894,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,fusechat-gemma-2-9b-instruct,2,122.03451919555664,0,0,False,error,
fusechat-gemma-2-9b-instruct_3_1759011981,2025-09-27T18:26:21.774162,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,fusechat-gemma-2-9b-instruct,3,122.0731770992279,0,0,False,error,
fusechat-gemma-2-9b-instruct_4_1759012104,2025-09-27T18:28:24.843371,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,fusechat-gemma-2-9b-instruct,4,122.05702495574951,0,0,False,error,
mistralai/mistral-7b-instruct-v0.3_1_1759012227,2025-09-27T18:30:27.915950,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,mistralai/mistral-7b-instruct-v0.3,1,122.06440353393555,0,0,False,error,
mistralai/mistral-7b-instruct-v0.3_2_1759012351,2025-09-27T18:32:31.000795,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,mistralai/mistral-7b-instruct-v0.3,2,122.06553316116333,0,0,False,error,
mistralai/mistral-7b-instruct-v0.3_3_1759012474,2025-09-27T18:34:34.058352,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,mistralai/mistral-7b-instruct-v0.3,3,122.04327654838562,0,0,False,error,
mistralai/mistral-7b-instruct-v0.3_4_1759012597,2025-09-27T18:36:37.106384,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,mistralai/mistral-7b-instruct-v0.3,4,122.0333092212677,0,0,False,error,
meta-llama-3.1-8b-instruct_1_1759012720,2025-09-27T18:38:40.174360,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,meta-llama-3.1-8b-instruct,1,122.05978894233704,0,0,False,error,
meta-llama-3.1-8b-instruct_2_1759012843,2025-09-27T18:40:43.236835,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,meta-llama-3.1-8b-instruct,2,122.03654527664185,0,0,False,error,
meta-llama-3.1-8b-instruct_3_1759012966,2025-09-27T18:42:46.286388,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,meta-llama-3.1-8b-instruct,3,122.03909611701965,0,0,False,error,
meta-llama-3.1-8b-instruct_4_1759013089,2025-09-27T18:44:49.347963,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,meta-llama-3.1-8b-instruct,4,122.04940629005432,0,0,False,error,
qwen2-vl-7b-instruct_1_1759013212,2025-09-27T18:46:52.417253,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,qwen2-vl-7b-instruct,1,122.05571842193604,0,0,False,error,
qwen2-vl-7b-instruct_2_1759013335,2025-09-27T18:48:55.460000,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,qwen2-vl-7b-instruct,2,122.03146886825562,0,0,False,error,
qwen2-vl-7b-instruct_3_1759013458,2025-09-27T18:50:58.536393,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,qwen2-vl-7b-instruct,3,122.05834126472473,0,0,False,error,
qwen2-vl-7b-instruct_4_1759013581,2025-09-27T18:53:01.610055,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,qwen2-vl-7b-instruct,4,122.06317400932312,0,0,False,error,
