trial_id,timestamp,model,trial,realness_score,coherence_score,naturalness_score,overall_score,brief_feedback,grading_error
mistralai/mistral-small-3.2_6_1759013626,2025-09-27T18:53:48.702676,mistralai/mistral-small-3.2,6,8,9,8,8,"The conversation is quite realistic and coherent, with only minor areas for improvement in naturalness.",
mistralai/mistral-small-3.2_7_1759013864,2025-09-27T18:57:47.139170,mistralai/mistral-small-3.2,7,8,9,8,8,"The conversation is quite realistic and coherent, with only minor areas that could be improved for more natural speech patterns.",
mistralai/mistral-small-3.2_8_1759014060,2025-09-27T19:01:02.473044,mistralai/mistral-small-3.2,8,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some responses could be slightly more varied.",
mistralai/mistral-small-3.2_9_1759014303,2025-09-27T19:05:05.687787,mistralai/mistral-small-3.2,9,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance believability.",
mistralai/mistral-small-3.2_10_1759014544,2025-09-27T19:09:06.136760,mistralai/mistral-small-3.2,10,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
fusechat-gemma-2-9b-instruct_1_1759014694,2025-09-27T19:11:36.801381,fusechat-gemma-2-9b-instruct,1,9,9,8,9,"The conversation is highly realistic and coherent, with only minor areas for improvement in naturalness.",
fusechat-gemma-2-9b-instruct_2_1759014845,2025-09-27T19:14:06.787218,fusechat-gemma-2-9b-instruct,2,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, making it suitable for training chatbot systems.",
fusechat-gemma-2-9b-instruct_3_1759015002,2025-09-27T19:16:43.917486,fusechat-gemma-2-9b-instruct,3,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
fusechat-gemma-2-9b-instruct_4_1759015154,2025-09-27T19:19:15.777412,fusechat-gemma-2-9b-instruct,4,9,9,8,9,"The conversation is realistic and coherent, with natural speech patterns, making it suitable for training chatbot systems.",
fusechat-gemma-2-9b-instruct_5_1759015302,2025-09-27T19:21:44.537052,fusechat-gemma-2-9b-instruct,5,9,9,8,9,"The conversation is realistic and flows well, with only minor issues in naturalness.",
fusechat-gemma-2-9b-instruct_6_1759015453,2025-09-27T19:24:16.235517,fusechat-gemma-2-9b-instruct,6,8,9,8,8,"The conversation is quite realistic and coherent, with only minor areas for improvement in naturalness.",
fusechat-gemma-2-9b-instruct_7_1759015603,2025-09-27T19:26:45.147492,fusechat-gemma-2-9b-instruct,7,9,9,8,9,"The conversation is highly realistic and coherent, with only minor areas for improvement in naturalness.",
fusechat-gemma-2-9b-instruct_8_1759015754,2025-09-27T19:29:16.018892,fusechat-gemma-2-9b-instruct,8,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
fusechat-gemma-2-9b-instruct_9_1759015904,2025-09-27T19:31:45.834707,fusechat-gemma-2-9b-instruct,9,9,9,8,9,"The conversation is realistic and coherent, with natural speech patterns, making it suitable for training chatbot systems.",
fusechat-gemma-2-9b-instruct_10_1759016053,2025-09-27T19:34:15.232476,fusechat-gemma-2-9b-instruct,10,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
meta-llama-3-8b-instruct_1_1759016161,2025-09-27T19:36:03.723221,meta-llama-3-8b-instruct,1,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some pauses could be more varied.",
meta-llama-3-8b-instruct_2_1759016279,2025-09-27T19:38:00.931253,meta-llama-3-8b-instruct,2,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor improvements could enhance its believability.",
meta-llama-3-8b-instruct_3_1759016391,2025-09-27T19:39:53.521666,meta-llama-3-8b-instruct,3,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more nuanced.",
meta-llama-3-8b-instruct_4_1759016495,2025-09-27T19:41:37.480032,meta-llama-3-8b-instruct,4,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more varied.",
meta-llama-3-8b-instruct_5_1759016574,2025-09-27T19:42:56.351879,meta-llama-3-8b-instruct,5,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more varied.",
meta-llama-3-8b-instruct_6_1759016692,2025-09-27T19:44:53.962447,meta-llama-3-8b-instruct,6,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
meta-llama-3-8b-instruct_7_1759016811,2025-09-27T19:46:53.227126,meta-llama-3-8b-instruct,7,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some responses could be more empathetic.",
meta-llama-3-8b-instruct_8_1759016929,2025-09-27T19:48:51.394407,meta-llama-3-8b-instruct,8,8,9,8,8,"The conversation is quite realistic and coherent, though some responses could be more varied to enhance naturalness.",
meta-llama-3-8b-instruct_9_1759017045,2025-09-27T19:50:47.291231,meta-llama-3-8b-instruct,9,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some pauses could be more varied.",
meta-llama-3-8b-instruct_10_1759017163,2025-09-27T19:52:46.508307,meta-llama-3-8b-instruct,10,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some pauses could be more varied.",
liquid/lfm2-1.2b_1_1759017195,2025-09-27T19:53:17.400585,liquid/lfm2-1.2b,1,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be more nuanced.",
liquid/lfm2-1.2b_2_1759017234,2025-09-27T19:53:55.886572,liquid/lfm2-1.2b,2,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more varied.",
liquid/lfm2-1.2b_3_1759017265,2025-09-27T19:54:27.719503,liquid/lfm2-1.2b,3,8,9,8,8,"The conversation is quite realistic and coherent, though some responses could be slightly more casual to enhance naturalness.",
liquid/lfm2-1.2b_4_1759017298,2025-09-27T19:55:00.362675,liquid/lfm2-1.2b,4,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more nuanced.",
liquid/lfm2-1.2b_5_1759017340,2025-09-27T19:55:41.878090,liquid/lfm2-1.2b,5,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some minor adjustments could enhance believability.",
liquid/lfm2-1.2b_6_1759017366,2025-09-27T19:56:08.317610,liquid/lfm2-1.2b,6,8,9,8,8,"The conversation is quite realistic and coherent, with only minor issues in naturalness and flow.",
liquid/lfm2-1.2b_7_1759017406,2025-09-27T19:56:48.067009,liquid/lfm2-1.2b,7,7,8,7,7,"The conversation is fairly realistic and coherent, but some responses feel slightly scripted and could be more fluid.",
liquid/lfm2-1.2b_8_1759017436,2025-09-27T19:57:18.002796,liquid/lfm2-1.2b,8,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some responses could be slightly more varied.",
liquid/lfm2-1.2b_9_1759017462,2025-09-27T19:57:44.302780,liquid/lfm2-1.2b,9,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more casual.",
liquid/lfm2-1.2b_10_1759017503,2025-09-27T19:58:25.667176,liquid/lfm2-1.2b,10,8,9,8,8,"The conversation is quite realistic and coherent, though some responses could be more concise to enhance naturalness.",
google/gemma-3-4b_1_1759017587,2025-09-27T19:59:49.524297,google/gemma-3-4b,1,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
google/gemma-3-4b_2_1759017666,2025-09-27T20:01:08.512283,google/gemma-3-4b,2,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its authenticity.",
google/gemma-3-4b_3_1759017745,2025-09-27T20:02:26.961203,google/gemma-3-4b,3,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
google/gemma-3-4b_4_1759017822,2025-09-27T20:03:44.465681,google/gemma-3-4b,4,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
google/gemma-3-4b_5_1759017900,2025-09-27T20:05:02.116312,google/gemma-3-4b,5,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
google/gemma-3-4b_6_1759017977,2025-09-27T20:06:19.594694,google/gemma-3-4b,6,8,9,8,8,"The conversation is quite realistic and coherent, though some phrases could be more fluid to enhance naturalness.",
google/gemma-3-4b_7_1759018053,2025-09-27T20:07:35.668988,google/gemma-3-4b,7,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
google/gemma-3-4b_8_1759018130,2025-09-27T20:08:52.907415,google/gemma-3-4b,8,8,9,8,8,"The conversation feels realistic and flows well, though some responses could be slightly more nuanced.",
google/gemma-3-4b_9_1759018207,2025-09-27T20:10:09.658758,google/gemma-3-4b,9,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its authenticity.",
google/gemma-3-4b_10_1759018284,2025-09-27T20:11:26.497357,google/gemma-3-4b,10,8,9,8,8,"The conversation is quite realistic and coherent, with only minor awkwardness in phrasing.",
deepseek/deepseek-r1-0528-qwen3-8b_1_1759018459,2025-09-27T20:14:21.656235,deepseek/deepseek-r1-0528-qwen3-8b,1,7,8,7,7,"The conversation is fairly realistic and coherent, but some elements feel slightly scripted and could benefit from more varied speech patterns.",
deepseek/deepseek-r1-0528-qwen3-8b_2_1759018633,2025-09-27T20:17:15.464428,deepseek/deepseek-r1-0528-qwen3-8b,2,8,7,7,7,The conversation captures realistic elements of communication but could benefit from more nuanced hesitations and corrections.,
deepseek/deepseek-r1-0528-qwen3-8b_3_1759018805,2025-09-27T20:20:07.038654,deepseek/deepseek-r1-0528-qwen3-8b,3,5,6,5,5,The conversation starts off well but lacks depth and realistic dialogue progression.,
deepseek/deepseek-r1-0528-qwen3-8b_4_1759018976,2025-09-27T20:22:57.814251,deepseek/deepseek-r1-0528-qwen3-8b,4,7,8,6,7,The conversation demonstrates a good understanding of the scenario but lacks some natural speech patterns and emotional depth.,
deepseek/deepseek-r1-0528-qwen3-8b_5_1759019145,2025-09-27T20:25:47.273672,deepseek/deepseek-r1-0528-qwen3-8b,5,7,8,6,7,"The conversation is fairly realistic and coherent, but some speech patterns feel slightly awkward and could be more natural.",
deepseek/deepseek-r1-0528-qwen3-8b_6_1759019317,2025-09-27T20:28:39.132532,deepseek/deepseek-r1-0528-qwen3-8b,6,7,8,7,7,"The conversation is fairly realistic and coherent, but some responses could be more natural and engaging.",
deepseek/deepseek-r1-0528-qwen3-8b_7_1759019489,2025-09-27T20:31:31.433523,deepseek/deepseek-r1-0528-qwen3-8b,7,8,9,8,8,"The conversation effectively captures the dynamics of a busy parent's rescheduling call, though some phrases could be more varied for realism.",
deepseek/deepseek-r1-0528-qwen3-8b_8_1759019659,2025-09-27T20:34:22.009171,deepseek/deepseek-r1-0528-qwen3-8b,8,8,9,8,8,The conversation effectively captures the dynamics of a healthcare appointment while maintaining a realistic flow and natural speech patterns.,
deepseek/deepseek-r1-0528-qwen3-8b_9_1759019830,2025-09-27T20:37:12.527698,deepseek/deepseek-r1-0528-qwen3-8b,9,8,9,8,8,"The conversation effectively captures the nuances of a healthcare appointment call, though some phrases could be more varied for enhanced realism.",
deepseek/deepseek-r1-0528-qwen3-8b_10_1759020001,2025-09-27T20:40:03.050281,deepseek/deepseek-r1-0528-qwen3-8b,10,8,9,8,8,The conversation effectively captures the anxiety of a first-time patient while maintaining a logical flow and natural speech patterns.,
mistralai/mistral-7b-instruct-v0.3_1_1759020113,2025-09-27T20:41:54.902784,mistralai/mistral-7b-instruct-v0.3,1,8,9,8,8,"The conversation is realistic and coherent, with only minor issues in naturalness and a slight error in the agent's final response.",
mistralai/mistral-7b-instruct-v0.3_2_1759020210,2025-09-27T20:43:32.464477,mistralai/mistral-7b-instruct-v0.3,2,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, making it suitable for training chatbot systems.",
mistralai/mistral-7b-instruct-v0.3_3_1759020298,2025-09-27T20:45:00.085795,mistralai/mistral-7b-instruct-v0.3,3,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, making it suitable for training chatbot systems.",
mistralai/mistral-7b-instruct-v0.3_4_1759020365,2025-09-27T20:46:07.538588,mistralai/mistral-7b-instruct-v0.3,4,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, making it suitable for training chatbot systems.",
mistralai/mistral-7b-instruct-v0.3_5_1759020470,2025-09-27T20:47:51.905166,mistralai/mistral-7b-instruct-v0.3,5,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more varied.",
mistralai/mistral-7b-instruct-v0.3_6_1759020584,2025-09-27T20:49:47.452489,mistralai/mistral-7b-instruct-v0.3,6,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
mistralai/mistral-7b-instruct-v0.3_7_1759020670,2025-09-27T20:51:12.213387,mistralai/mistral-7b-instruct-v0.3,7,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more varied.",
mistralai/mistral-7b-instruct-v0.3_8_1759020800,2025-09-27T20:53:26.247120,mistralai/mistral-7b-instruct-v0.3,8,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some responses could be slightly more nuanced.",
mistralai/mistral-7b-instruct-v0.3_9_1759020903,2025-09-27T20:55:05.521439,mistralai/mistral-7b-instruct-v0.3,9,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more varied.",
mistralai/mistral-7b-instruct-v0.3_10_1759020999,2025-09-27T20:56:43.886271,mistralai/mistral-7b-instruct-v0.3,10,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor awkwardness remains.",
google/gemma-3n-e4b_1_1759021116,2025-09-27T20:58:38.150276,google/gemma-3n-e4b,1,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some hesitations could be more varied.",
google/gemma-3n-e4b_2_1759021229,2025-09-27T21:00:31.207705,google/gemma-3n-e4b,2,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor improvements could enhance its believability.",
google/gemma-3n-e4b_3_1759021343,2025-09-27T21:02:24.812682,google/gemma-3n-e4b,3,9,9,8,9,"The conversation is highly realistic and coherent, with only minor areas for improvement in naturalness.",
google/gemma-3n-e4b_4_1759021454,2025-09-27T21:04:16.222264,google/gemma-3n-e4b,4,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more nuanced.",
google/gemma-3n-e4b_5_1759021556,2025-09-27T21:05:58.693901,google/gemma-3n-e4b,5,9,9,8,9,"The conversation is realistic and flows well, with only minor areas for improvement in naturalness.",
google/gemma-3n-e4b_6_1759021666,2025-09-27T21:07:47.903190,google/gemma-3n-e4b,6,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
google/gemma-3n-e4b_7_1759021779,2025-09-27T21:09:41.562002,google/gemma-3n-e4b,7,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some hesitations could be more varied.",
google/gemma-3n-e4b_8_1759021891,2025-09-27T21:11:33.415122,google/gemma-3n-e4b,8,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some pauses could be more varied.",
google/gemma-3n-e4b_9_1759022004,2025-09-27T21:13:26.594912,google/gemma-3n-e4b,9,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
google/gemma-3n-e4b_10_1759022114,2025-09-27T21:15:16.251047,google/gemma-3n-e4b,10,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its authenticity.",
llama3-12b-instruct_1_1759022289,2025-09-27T21:18:11.211179,llama3-12b-instruct,1,7,8,7,7,"The conversation is mostly realistic and coherent, but some responses could be more nuanced to enhance naturalness.",
llama3-12b-instruct_2_1759022456,2025-09-27T21:20:58.772014,llama3-12b-instruct,2,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some responses could be more varied.",
llama3-12b-instruct_3_1759022624,2025-09-27T21:23:46.097461,llama3-12b-instruct,3,7,8,7,7,"The conversation is mostly realistic and coherent, but some pauses and responses feel slightly scripted.",
llama3-12b-instruct_4_1759022789,2025-09-27T21:26:31.630375,llama3-12b-instruct,4,7,6,7,6,"The conversation is fairly realistic and coherent, but some responses feel slightly disjointed and could be more fluid.",
llama3-12b-instruct_5_1759022953,2025-09-27T21:29:15.703324,llama3-12b-instruct,5,7,8,7,7,"The conversation is mostly realistic and coherent, but some responses feel slightly awkward and could be more fluid.",
llama3-12b-instruct_6_1759023120,2025-09-27T21:32:02.214319,llama3-12b-instruct,6,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be more varied.",
llama3-12b-instruct_7_1759023286,2025-09-27T21:34:47.854494,llama3-12b-instruct,7,8,9,8,8,"The conversation is quite realistic and coherent, though some responses could be slightly more varied to enhance naturalness.",
llama3-12b-instruct_8_1759023450,2025-09-27T21:37:32.493937,llama3-12b-instruct,8,7,6,7,6,"The conversation is mostly realistic and coherent, but some responses feel slightly off and repetitive.",
llama3-12b-instruct_9_1759023614,2025-09-27T21:40:16.652997,llama3-12b-instruct,9,7,8,7,7,"The conversation is mostly realistic and coherent, but some responses feel slightly scripted and less natural.",
llama3-12b-instruct_10_1759023781,2025-09-27T21:43:03.277027,llama3-12b-instruct,10,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some responses could be more varied.",
